"nom","prénom","groupe","rattachement_parti"
"Abad","Damien","UMP","Union pour un mouvement populaire"
"Abeille","Laurence","Ecolo","Europe Ecologie Les Verts"
"Aboubacar","Ibrahim","SRC","Parti socialiste"
"Aboud","Élie","UMP","Union pour un mouvement populaire"
"Accoyer","Bernard","UMP","Union pour un mouvement populaire"
"Adam","Patricia","SRC","Parti socialiste"
"Alaux","Sylviane","SRC","Parti socialiste"
"Alauzet","Éric","Ecolo","Europe Ecologie Les Verts"
"Albarello","Yves","UMP","Union pour un mouvement populaire"
"Allain","Brigitte","Ecolo","Europe Ecologie Les Verts"
"Allossery","Jean-Pierre","SRC","Parti socialiste"
"Ameline","Nicole","UMP","Union pour un mouvement populaire"
"Amirshahi","Pouria","SRC","Parti socialiste"
"André","François","SRC","Parti socialiste"
"Andrieux","Sylvie","NI","Parti socialiste"
"Apparu","Benoist","UMP","Union pour un mouvement populaire"
"Appéré","Nathalie","SRC","Parti socialiste"
"Asensi","François","GDR","Forces de gauche"
"Assaf","Christian","SRC","Parti socialiste"
"Assouly","Avi","SRC","Parti socialiste"
"Attard","Isabelle","Ecolo","Europe Ecologie Les Verts"
"Aubert","Julien","UMP","Union pour un mouvement populaire"
"Audibert Troin","Olivier","UMP","Union pour un mouvement populaire"
"Auroi","Danielle","Ecolo","Europe Ecologie Les Verts"
"Aylagas","Pierre","SRC","Parti socialiste"
"Azerot","Bruno Nestor","GDR","Rassemblement démocratique pour la Martinique"
"Bachelay","Alexis","SRC","Parti socialiste"
"Bachelay","Guillaume","SRC","Parti socialiste"
"Bacquet","Jean-Paul","SRC","Parti socialiste"
"Baert","Dominique","SRC","Parti socialiste"
"Balkany","Patrick","UMP","Union pour un mouvement populaire"
"Bapt","Gérard","SRC","Parti socialiste"
"Barbier","Frédéric","SRC","Parti socialiste"
"Barbier","Jean-Pierre","UMP","Union pour un mouvement populaire"
"Bardy","Serge","SRC","Parti socialiste"
"Bareigts","Ericka","SRC","Parti socialiste"
"Baroin","François","UMP","Union pour un mouvement populaire"
"Bartolone","Claude","SRC","Parti socialiste"
"Bataille","Christian","SRC","Parti socialiste"
"Batho","Delphine","SRC","Parti socialiste"
"Battistel","Marie-Noëlle","SRC","Parti socialiste"
"Baumel","Laurent","SRC","Parti socialiste"
"Baumel","Philippe","SRC","Parti socialiste"
"Baupin","Denis","Ecolo","Europe Ecologie Les Verts"
"Bays","Nicolas","SRC","Parti socialiste"
"Beaubatie","Catherine","SRC","Parti socialiste"
"Bechtel","Marie-Françoise","SRC","Parti socialiste"
"Beffara","Jean-Marie","SRC","Parti socialiste"
"Bello","Huguette","GDR","Pour la Réunion, de toutes nos forces"
"Belot","Luc","SRC","Parti socialiste"
"Benisti","Jacques Alain","UMP","Union pour un mouvement populaire"
"Benoit","Thierry","UDI","Union des radicaux, centristes, indépendants et démocrates"
"Berger","Karine","SRC","Parti socialiste"
"Berrios","Sylvain","UMP","Union pour un mouvement populaire"
"Berthelot","Chantal","SRC","Parti socialiste"
"Bertrand","Xavier","UMP","Union pour un mouvement populaire"
"Besse","Véronique","NI","Debout la République"
"Biémouret","Gisèle","SRC","Parti socialiste"
"Bies","Philippe","SRC","Parti socialiste"
"Binet","Erwann","SRC","Parti socialiste"
"Blanc","Étienne","UMP","Union pour un mouvement populaire"
"Blazy","Jean-Pierre","SRC","Parti socialiste"
"Blein","Yves","SRC","Parti socialiste"
"Bleunven","Jean-Luc","SRC","Parti socialiste"
"Bloche","Patrick","SRC","Parti socialiste"
"Bocquet","Alain","GDR","Parti communiste français"
"Boisserie","Daniel","SRC","Parti socialiste"
"Boistard","Pascale","SRC","Parti socialiste"
"Bompard","Jacques","NI","Debout la République"
