"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"AFRIQUE DU SUD","SINCLAIR BEILES","ARLESTON CHRISTOPHE & TARQUIN DIDIER","Lanfeust de Troy (tome II): Thanos l’Incongru","MC Productions","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","BAJRAM","Universal War One (tome I): la Genèse","MC Productions","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","RAMAÏOLI","Zoulouland (tome I): Comme un vol d’hirondelle","MC Productions","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","RAMAÏOLI","Zoulouland (tome II): Noirs comme l’enfer","MC Productions","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","SAINT-EXUPÉRY ANTOINE (DE)","Le Petit Prince","Gallimard","Lettres","STE Publishers pty ltd"
"AFRIQUE DU SUD","SINCLAIR BEILES","SAINT-EXUPÉRY ANTOINE (DE)","Le Petit Prince","Gallimard","Lettres","STE Publishers pty ltd"
"AFRIQUE DU SUD","SINCLAIR BEILES","ZEP","Titeuf (vol. IV): C’est pô juste","Glénat","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","ZEP","Titeuf (vol. III): Ça épate les filles","Glénat","Arts","Pepic and Kraus Print"
"AFRIQUE DU SUD","SINCLAIR BEILES","ZEP & TEBO","Captain Biceps (tome I)","Glénat","Arts","Pepic and Kraus Print"
"ALBANIE","FAN NOLI","COLLECTIF","Les Institutions de l’Union européenne","Doc. Française","Sciences Sociales et Humaines","Papirus"
"ALBANIE","FAN NOLI","ARCY FRANÇOIS (D ’)","Les Politiques de l’Union européenne","EJA","Sciences Sociales et Humaines","Papirus"
"ALBANIE","FAN NOLI","CABANNES PIERRE","Introduction de l’histoire de l’Antiquité","Armand Colin","Sciences Sociales et Humaines","Carpe Diem"
"ALBANIE","FAN NOLI","JACQUE JEAN-PAUL","Droit institutionnel de l’Union européenne","Dalloz","Sciences et Techniques","Papirus"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Coloniser, exterminer","","Sciences Sociales et Humaines",""
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Manuscrits et bibliothèques d’Algérie","Adverbum","Sciences Sociales et Humaines","Barzakh"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Jean Amrouche, l’éternel exilé","Ibis press","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Les Grands Maîtres algériens du Cha’bi et du Hawzi","El Ouns","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Plantes médicinales de Kabylie","Ibis press","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","L’Orange folle de foot","Le Sablier","Jeunesse","Le Petit Lecteur"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","La mouche qui a piqué Koto","Le Sablier","Jeunesse","Le Petit Lecteur"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Le Marchand de sable","Le Sablier","Jeunesse","Le Petit Lecteur"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire des sciences de la vie et de la terre","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire d’économie et de sciences sociales","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Génie électrotechnique","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Génie électronique","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire de physique chimie","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Guide de mécanique","Nathan","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Ma première encyclopédie","Larousse","Philosophie","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Mon premier Larousse des sciences","Larousse","Philosophie","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Mon premier Larousse de la nature","Larousse","Philosophie","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Mon premier Larousse des comment","Larousse","Philosophie","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Mon premier Larousse des pourquoi","Larousse","Philosophie","Casbah"
