Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
ABBEVILLE,"L'aménagement de l'aire de jeux ""Picardie"" située quartier des Provinces",100334,25000,MATHON Gilbert,Assemblée nationale,"0,2491677796",80,SRC,http://2007.nosdeputes.fr/MATHON%20Gilbert/xml
ABBEVILLE,"L'aménagement des vestiaires du terrain de rugby, situé côté de la Justice",16318,5000,MATHON Gilbert,Assemblée nationale,"0,3064100993",80,SRC,http://2007.nosdeputes.fr/MATHON%20Gilbert/xml
ABBEVILLE-SAINT-LUCIEN,L'installation d'une alarme dans les bâtiments communaux,2620,1300,DASSAULT Olivier,Assemblée nationale,"0,4961832061",60,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
ABELCOURT,La sécurisation de la RD 6 en traverse du village (1ère tranche),38890,8000,RAISON Michel,Assemblée nationale,"0,2057084083",70,UMP,http://2007.nosdeputes.fr/RAISON%20Michel/xml
ABERE,La rénovation de la salle des fêtes,60095,6000,BAYROU François,Assemblée nationale,"0,099841917",64,NI,http://2007.nosdeputes.fr/BAYROU%20François/xml
ABILLY,L'aménagement d'un préau sur l'Ile de la Claise,25433,12000,TOURAINE Marisol,Assemblée nationale,"0,4718279401",37,SRC,http://2007.nosdeputes.fr/TOURAINE%20Marisol/xml
ABLON-SUR-SEINE,L'acquisition d'une balayeuse,108679,10000,LE MENN Jacky,Sénat,"0,0920140966",94,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
ABLON-SUR-SEINE,La réhabilitation de la rue du Bac,38666,6000,PLACE Jean-Vincent,Sénat,"0,1551750892",94,ECO,http://nossenateurs.fr/PLACE%20Jean-Vincent/xml
ABONDANCE,La restauration des toitures des bâtiments conventuels de l'Abbaye (programme 2012),415055,10000,FRANCINA Marc,Assemblée nationale,"0,0240931925",74,UMP,http://2007.nosdeputes.fr/FRANCINA%20Marc/xml
ACCOLAY,La restauration de la toiture de la nef de l'église,136203,19050,ROLLAND Jean-Marie,Assemblée nationale,"0,1398647607",89,UMP,http://2007.nosdeputes.fr/ROLLAND%20Jean-Marie/xml
ACHAIN,L'équipement de la salle communale,2958,1479,MARTY Alain,Assemblée nationale,"0,5",57,UMP,http://2007.nosdeputes.fr/MARTY%20Alain/xml
ACHICOURT,La réhabilitation de la résidence du petit Bapaume (1ère tranche),1057805,5000,MAQUET Jacqueline,Assemblée nationale,"0,0047267691",62,SRC,http://2007.nosdeputes.fr/MAQUET%20Jacqueline/xml
ACHUN,La réhabilitation de la mairie (2ème tranche),93213,10000,CARRERE Jean-Louis,Sénat,"0,1072811732",58,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
ACON,Travaux de voirie (programme 2011),105980,30000,0,Réserve ministérielle,"0,2830722778",27,,
ACQUIGNY,"L'acquisition de mobilier pour le groupe scolaire, le restaurant scolaire et la bibliothèque",37689,10000,BOURDIN Joël,Sénat,"0,2653294065",27,UMP,http://nossenateurs.fr/BOURDIN%20Joël/xml
ACY,La réhabilitation et l'extension de la salle des fêtes et la construction d'un restaurant scolaire,719302,15000,VASSEUR Isabelle,Assemblée nationale,"0,0208535497",2,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
ACY-ROMANCE,L'acquisition de panneaux de signalisation,7769,3884,LAMENIE Marc,Sénat,"0,4999356417",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
ADAMSWILLER,La construction d'un accès pour les personnes à mobilité réduite à l'église,15621,2800,REICHARDT André,Sénat,"0,1792458869",67,UMP,http://nossenateurs.fr/REICHARDT%20André/xml
AFFLEVILLE,La réhabilitation du logement communal locatif,63500,10000,0,Réserve ministérielle,"0,157480315",54,,
AFFLEVILLE,La restructuration de la mairie,60437,4500,HUSSON Jean-François,Sénat,"0,0744576998",54,NI,http://nossenateurs.fr/HUSSON%20Jean-François/xml
AFFOUX,La réhabilitation d'un bâtiment en mairie,742590,10000,0,Réserve ministérielle,"0,0134663812",69,,
AGDE,L'aménagement d'un terrain en gazon synthétique au complexe sportif Daniel Rivalta,400000,76000,D'ETTORE Gilles,Assemblée nationale,"0,19",34,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGDE,La climatisation du département des bronzes du musée de l'Ephèbe et d'Archéologie sous-marine et l'acquisition de sondes et de vitrines,114133,30000,D'ETTORE Gilles,Assemblée nationale,"0,262851235",34,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGDE,La réhabilitation d'un bâtiment communal en Maison des Services Publics au Grau d'Agde,836120,50000,D'ETTORE Gilles,Assemblée nationale,"0,0598000287",34,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGEL,La réfection du centre ancien,146137,23000,RAOUL Daniel,Sénat,"0,1573865619",34,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
AGENVILLERS,L'acquisition de divers équipements pour la salle communale,8010,2000,DUBOIS Daniel,Sénat,"0,2496878901",80,UDI,http://nossenateurs.fr/DUBOIS%20Daniel/xml
AGNAT,La restauration de l'église (1ère tranche),149721,13500,PRORIOL Jean,Assemblée nationale,"0,0901677119",43,UMP,http://2007.nosdeputes.fr/PRORIOL%20Jean/xml
AGNEAUX,La construction d'un centre de santé pluridisciplinaire,2351281,50000,0,Réserve ministérielle,"0,0212650041",50,,
AGNICOURT-SECHELLES,La remise en état du pignon de la salle des fêtes,5530,2700,JEANNEROT Claude,Sénat,"0,4882459313",2,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
AGNIN,La construction de locaux commerciaux et de services au centre du village,252756,5000,DAVID Annie,Sénat,"0,0197819241",38,CRC,http://nossenateurs.fr/DAVID%20Annie/xml
AGNIN,La restauration de l'église (1ère tranche),109667,15000,SAVIN Michel,Sénat,"0,1367776998",38,UMP,http://nossenateurs.fr/SAVIN%20Michel/xml
AGONAC,La construction d'un bâtiment regroupant la mairie et le centre de loisirs sans hébergement,1181300,3000,LANGLADE Colette,Assemblée nationale,"0,002539575",24,SRC,http://2007.nosdeputes.fr/LANGLADE%20Colette/xml
AGONAC,"Le traitement des eaux pluviales, chemin des Crozes, ruelle Frotaire et rue des Jardins",28031,5000,RAOUL Daniel,Sénat,"0,1783739431",24,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
AGOS-VIDALOS,La mise en place d'un dispositif de traitement des eaux pluviales,139467,6500,ROBIN-RODRIGO Chantal,Assemblée nationale,"0,0466060072",65,SRC,http://2007.nosdeputes.fr/ROBIN-RODRIGO%20Chantal/xml
AGOS-VIDALOS,L'aménagement de l'esplanade de la mairie (1ère tranche),24643,8000,REINER Daniel,Sénat,"0,3246357992",65,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
AGUESSAC,L'acquisition et l'aménagement d'un local d'archives,16207,2000,HERVIAUX Odette,Sénat,"0,1234034676",12,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
AGY,La réfection de la voirie (programme 2012),119578,6000,DUPONT Jean-Léonce,Sénat,"0,0501764539",14,UDI,http://nossenateurs.fr/DUPONT%20Jean-Léonce/xml
