"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"AFRIQUE DU SUD","SINCLAIR BEILES","COLLECTIF","Picador Book of African Stories","Divers","Lettres","Stephen Gray","1990-01-01"
"AFRIQUE DU SUD","SINCLAIR BEILES","QUIGNARD PASCAL","Tous les matins du monde","Gallimard","Lettres","Protea Boekhuis","1990-01-01"
"ALBANIE","FAN NOLI","COLLECTIF","Dictionnaire de la philosophie","Larousse","Philosophie","Shtepia Botuese Enciklopedike","1990-01-01"
"ALBANIE","FAN NOLI","ADLER LAURE","Marguerite Duras","Gallimard","Lettres","Albin","1990-01-01"
"ALBANIE","FAN NOLI","ALLÈGRE CLAUDE","Introduction à une histoire naturelle","Fayard","Sciences Sociales et Humaines","Dituria","1990-01-01"
"ALBANIE","FAN NOLI","AYMÉ MARCEL","La Jument verte","Gallimard","Lettres","Albin","1990-01-01"
"ALBANIE","FAN NOLI","AYMÉ MARCEL","Le Passe-Muraille","Gallimard","Lettres","Dituria","1990-01-01"
"ALBANIE","FAN NOLI","BATAILLE GEORGES","L’Érotisme","Minuit","Lettres","Shtepia E Librit Dhe E Komunikimit","1990-01-01"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","L’Âge de discrétion","Gallimard","Lettres","Elena Gjika","1990-01-01"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","La Femme rompue","Gallimard","Lettres","Elena Gjika","1990-01-01"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","Monologue","Gallimard","Lettres","Elena Gjika","1990-01-01"
"ALBANIE","FAN NOLI","BECKETT SAMUEL","En attendant Godot","Minuit","Lettres","MCM","1990-01-01"
"ALBANIE","FAN NOLI","BECKETT SAMUEL","Oh les beaux jours","Minuit","Lettres","MCM","1990-01-01"
"ALBANIE","FAN NOLI","BEN JELLOUN TAHAR","L’Enfant de sable","Le Seuil","Lettres","Elena Gjika","1990-01-01"
"ALBANIE","FAN NOLI","BERGSON HENRI","Les Deux Sources de la morale et de la religion","PUF","Philosophie","Amfioni dhe Zeti","1990-01-01"
