pays,nom pap,auteur,titre,editeur,type,editeur trad,periode
AFRIQUE DU SUD,Sinclair Beiles Grant,Saint-Exupéry Antoine de,Le petit prince,Gallimard,inconnu,STE Publishers pty ltd,2008-01-01
AFRIQUE DU SUD,Sinclair Beiles Grant,Saint-Exupéry Antoine de,Le petit prince,Gallimard,inconnu,STE Publishers pty ltd,2008-01-01
AFRIQUE DU SUD,Sinclair Beiles Grant,Le Clézio J.-M. G.,L'Africain,Mercure de France,Littérature,SUN MeDIA Blœmfontein,2010-03-01
AFRIQUE DU SUD,Sinclair Beiles Grant,Camus Albert,La Peste,Gallimard,Littérature,Protea,2011-09-01
AFRIQUE DU SUD,Sinclair Beiles Grant,Houellebecq Michel,Rester vivant et une selection de poemes,Flammarion,Essai,Hond,2012-09-01
Alliance Internationale des Editeurs Indépendants,Coéd. régionales Afrique,Diop Boubacar Boris,Kaveena,Philippe Rey,inconnu,Barzakh,2009-03-01
Alliance Internationale des Editeurs Indépendants,Coéd. régionales Afrique,Dongala Emmanuel,Jazz et Vin de palme,Hatier,inconnu,Barzakh,2009-03-01
Alliance Internationale des Editeurs Indépendants,Coéd. régionales Afrique,Mbaye Sanou,L'Afrique au secours de l'Afrique,Éd. de l'Atelier,Documents/Essais d'actualité,Presses Universitaires d'Afrique,2010-03-01
ALBANIE,Fan Noli,Jaqué Jean-Paul,Droit institutionnel de l'Union européenne,Dalloz,inconnu,Papirus,2008-01-01
ALBANIE,Fan Noli,Cabanes Pierre,Les Illyriens,Armand Colin,inconnu,Carpe Diem,2009-09-01
ALBANIE,Fan Noli,Letessier J-Y.; Silvano J.; Soin R.,L'Europe économique et son avenir,Armand Colin,inconnu,Papirus,2009-09-01
ALBANIE,Fan Noli,Wolton Dominique,Sauver la communication,Flammarion,inconnu,Papirus,2009-09-01
ALBANIE,Fan Noli,Balle Francis,Médias et soci'06s,Lextenso,Universitaire/Enseignement supérieur,Papirus,2010-03-01
ALBANIE,Fan Noli,Beckett Samuel ,"Trilogie ""Molly; Malone meurt et L'Innommable",Éd. de Minuit,œuvres littéraires contemporaines,Tirana Times,2010-09-01
ALBANIE,Fan Noli,Kundera Milan ,L'Ignorance,Gallimard(auteur détenteur des droits),OK,Dituria,2010-09-01
ALBANIE,Fan Noli,'05gret Éric,Sociologie de la communicationet des média,Armand Colin,Universitaire/Enseignement supérieur,Papirus,2010-03-01
ALBANIE,Fan Noli,Bazin André ,Qu'est ce que le cinéma ?,Éd. du Cerf,Arts,Zenit,2011-03-01
ALBANIE,Fan Noli,Duby Georges,Histoire de la France,Larousse,Histoire/Géographie/Archéologie,Dituria,2011-03-01
ALBANIE,Fan Noli,Ollivier Bruno ,Les Sciences de la Communication,Armand Colin,Sciences Hu'05nes et Sociales,Papirus,2011-03-01
ALBANIE,Fan Noli,Hennion-Moreau Sylvie;Le Barbier-Le Bris Muriel et Del Sol Marion,Droit social européen et international,PUF,inconnu,Papirus,2012-03-01
ALBANIE,Fan Noli,Lopez Roberto S.,Naissance de l'Europe,Armand Colin,inconnu,Dituria,2012-03-01
ALBANIE,Fan Noli,Nourissat Cyril ,Droit des affaires de l'UE,Dalloz,inconnu,Papirus,2012-03-01
ALBANIE,Fan Noli,Claudel Philippe,Parfums,Stock,Littérature,Ombra GVG,2013-06-01
ALBANIE,Fan Noli,Fustel de Coulanges,La cité antique,Flammarion,SHS,Dituria,2013-06-01
ALBANIE,Fan Noli,Le Corbusier,Vers une architecture,Fondation Le Corbusier,Arts,Dituria,2013-06-01
ALBANIE,Fan Noli,Sartre Jean-Paul,Huis clos et Les mouches,Gallimard,inconnu,Fan Noli,2013-02-01
ALBANIE,Fan Noli,Sartre Jean-Paul,La Nausée,Gallimard,inconnu,Fan Noli,2013-02-01
ALGÉRIE,Mohammed Dib,Begag Azouz,Un train pour chez vous,Thierry Magnier,inconnu,Sédia,2008-01-01
ALGÉRIE,Mohammed Dib,Belamri Rabah,Femmes sans visage,Gallimard,inconnu,APIC,2008-01-01
